INT Temp [°C];AUX Temp [°C];COMP Temp [°C];RELAY Temp [°C];INT Filter Temp [°C];AUX Filter Temp [°C];COMP Filter Temp [°C];RELAY Filter Temp [°C];Relay Control;Battery Charger;Power Dissipation [W];Relay Resistance [Ohm]
23.1947;21.3787;22.8145;21.7050;23.1814;21.4744;22.8999;21.7855;0.0000;0.0000;0.0000;0.0146
23.2455;21.5041;22.9918;21.8307;23.1816;21.4744;22.8995;21.7855;0.0000;0.0000;0.0000;0.0146
23.2455;21.4037;22.8905;21.7804;23.1813;21.4744;22.8997;21.7859;0.0000;0.0000;0.0000;0.0146
23.5250;21.4790;22.9411;21.9313;23.1818;21.4744;22.8998;21.7876;0.0000;0.0000;0.0000;0.0146
23.1186;21.5292;22.8905;21.8055;23.1806;21.4742;22.9007;21.7870;0.0000;0.0000;0.0000;0.0146
23.1947;21.5543;22.8905;21.7301;23.1803;21.4743;22.9004;21.7864;0.0000;0.0000;0.0000;0.0146
23.1186;21.3787;22.8145;21.8810;23.1790;21.4745;22.8992;21.7879;0.0000;0.0000;0.0000;0.0146
23.2201;21.3787;22.9158;21.7552;23.1794;21.4745;22.8996;21.7872;0.0000;0.0000;0.0000;0.0146
23.0932;21.4037;22.8651;21.8810;23.1790;21.4745;22.8999;21.7867;0.0000;0.0000;0.0000;0.0146
23.2201;21.4790;22.9665;21.8307;23.1795;21.4746;22.9007;21.7865;0.0000;0.0000;0.0000;0.0146
23.1186;21.4539;23.0171;21.8558;23.1796;21.4747;22.9005;21.7860;0.0000;0.0000;0.0000;0.0146
23.1947;21.5041;22.8905;21.8558;23.1806;21.4747;22.9006;21.7870;0.0000;0.0000;0.0000;0.0146
23.1947;21.4037;22.9665;21.8055;23.1804;21.4747;22.9011;21.7879;0.0000;0.0000;0.0000;0.0146
23.1693;21.3035;22.8651;21.7301;23.1813;21.4747;22.9016;21.7883;0.0000;0.0000;0.0000;0.0146
23.2201;21.5543;22.8651;21.7050;23.1812;21.4746;22.9017;21.7884;0.0000;0.0000;0.0000;0.0146
23.1947;21.5292;22.8651;21.6045;23.1793;21.4746;22.9015;21.7880;0.0000;0.0000;0.0000;0.0146
23.2455;21.5041;22.9411;21.6547;23.1802;21.4745;22.9012;21.7884;0.0000;0.0000;0.0000;0.0146
23.1186;21.3787;22.9158;21.8055;23.1805;21.4745;22.9016;21.7884;0.0000;0.0000;0.0000;0.0146
23.1186;21.5292;22.9665;21.7552;23.1803;21.4748;22.9022;21.7878;0.0000;0.0000;0.0000;0.0146
23.1693;21.4037;22.9918;21.8055;23.1812;21.4748;22.9031;21.7876;0.0000;0.0000;0.0000;0.0146
23.1439;21.4288;22.9158;21.9061;23.1815;21.4749;22.9033;21.7884;0.0000;0.0000;0.0000;0.0146
23.2201;21.4539;22.9158;21.9816;23.1815;21.4749;22.9028;21.7893;0.0000;0.0000;0.0000;0.0146
23.2455;21.4037;22.9158;21.6547;23.1821;21.4749;22.9034;21.7898;0.0000;0.0000;0.0000;0.0146
23.2201;21.5041;22.9158;21.7552;23.1840;21.4749;22.9034;21.7908;0.0000;0.0000;0.0000;0.0146
23.2455;21.5041;22.7892;21.7301;23.1851;21.4750;22.9020;21.7862;0.0000;0.0000;0.0000;0.0146
23.2201;21.5292;22.9411;21.7301;23.1863;21.4750;22.9034;21.7862;0.0000;0.0000;0.0000;0.0146
23.2455;21.4037;22.9158;21.7804;23.1874;21.4751;22.9041;21.7865;0.0000;0.0000;0.0000;0.0146
23.1693;21.4790;22.9158;21.9061;23.1887;21.4753;22.9043;21.7879;0.0000;0.0000;0.0000;0.0146
23.2708;21.5543;22.9411;21.8558;23.1890;21.4753;22.9041;21.7867;0.0000;0.0000;0.0000;0.0146
23.1947;21.4288;22.8651;21.7804;23.1877;21.4752;22.9038;21.7880;0.0000;0.0000;0.0000;0.0146
23.0678;21.5292;22.7133;21.8558;23.1880;21.4753;22.9037;21.7887;0.0000;0.0000;0.0000;0.0146
23.1439;21.4037;22.8398;21.7301;23.1885;21.4753;22.9025;21.7885;0.0000;0.0000;0.0000;0.0146
23.1186;21.7301;22.8651;21.7050;23.1878;21.4755;22.9021;21.7877;0.0000;0.0000;0.0000;0.0146
23.1186;21.5292;22.9158;21.9564;23.1865;21.4755;22.9025;21.7888;0.0000;0.0000;0.0000;0.0146
23.0678;21.4790;22.7639;21.8810;23.1868;21.4755;22.9022;21.7893;0.0000;0.0000;0.0000;0.0146
23.0678;21.3787;22.8905;21.9564;23.1875;21.4754;22.9030;21.7868;0.0000;0.0000;0.0000;0.0146
23.2455;21.3787;22.8398;21.7552;23.1867;21.4754;22.9031;21.7864;0.0000;0.0000;0.0000;0.0146
23.1693;21.4037;22.9665;21.7301;23.1856;21.4754;22.9031;21.7865;0.0000;0.0000;0.0000;0.0146
23.0678;21.4288;22.9158;21.8055;23.1848;21.4753;22.9031;21.7865;0.0000;0.0000;0.0000;0.0146
23.3216;21.3035;22.8651;21.6045;23.1855;21.4752;22.9037;21.7870;0.0000;0.0000;0.0000;0.0146
23.2201;21.4037;22.9411;21.8558;23.1852;21.4753;22.9038;21.7871;0.0000;0.0000;0.0000;0.0146
23.1186;21.5794;22.9158;21.7804;23.1860;21.4755;22.9029;21.7869;0.0000;0.0000;0.0000;0.0146
23.2455;21.4037;22.9158;21.7804;23.1857;21.4756;22.9027;21.7872;0.0000;0.0000;0.0000;0.0146
23.1186;21.5041;22.7892;21.7552;23.1857;21.4757;22.9020;21.7873;0.0000;0.0000;0.0000;0.0146
23.0678;21.5543;22.9665;21.8055;23.1850;21.4758;22.9032;21.7882;0.0000;0.0000;0.0000;0.0146
23.1693;21.4790;22.8651;21.7804;23.1839;21.4759;22.9046;21.7873;0.0000;0.0000;0.0000;0.0146
23.2455;21.5041;23.0425;21.7552;23.1833;21.4760;22.9048;21.7847;0.0000;0.0000;0.0000;0.0146
23.2455;21.4790;22.8651;21.8055;23.1842;21.4761;22.9043;21.7861;0.0000;0.0000;0.0000;0.0146
23.1439;21.4539;22.9665;21.8558;23.1843;21.4759;22.9053;21.7864;0.0000;0.0000;0.0000;0.0146
23.1186;21.5292;22.9158;21.8307;23.1853;21.4760;22.9052;21.7874;0.0000;0.0000;0.0000;0.0146
23.0678;21.4288;22.9665;21.7301;23.1856;21.4760;22.9057;21.7869;0.0000;0.0000;0.0000;0.0146
